Ia	Ib	Ic	IIa	IIb	IIa6	IIb6	IIIa	IIIa6
0.444993078	0.044011167	0.035840907	0.24200677	0.066783454	0.026767626	0.003422814	0.032567869	0.002676427
0.337404231	0.085412504	0.036983791	0.207471579	0.080230855	0.141774419	0.015791697	0.044611788	0.019221922
0.366782194	0.087296491	0.037086904	0.205531747	0.065570985	0.140168734	0.017901029	0.033292717	0.021317512
0.361530732	0.079222797	0.035430885	0.209659635	0.072811213	0.141169233	0.012596345	0.038685079	0.019699786
0.329613988	0.081241072	0.035564962	0.208584843	0.079620723	0.160512012	0.013401279	0.042363225	0.022246063
0.276565156	0.08064026	0.029902933	0.229562887	0.109394585	0.135795799	0.018490415	0.058158165	0.026750155
0.285709836	0.075066974	0.028848118	0.23919356	0.091951936	0.1415477	0.016378274	0.06501348	0.024159877
0.373900433	0.06531365	0.017270784	0.264705318	0.054390299	0.121481513	0.009917434	0.049274091	0.027193999
0.249195696	0.070159904	0.026572847	0.235788422	0.088958922	0.170563214	0.019218429	0.071185193	0.039205575
0.254793595	0.083179649	0.02817034	0.230677268	0.092840258	0.157994756	0.016714916	0.07000348	0.036164305
0.272425301	0.085350682	0.026457025	0.24961478	0.08975232	0.147995321	0.013869204	0.070859653	0.033841931
0.375742545	0.062705701	0.016501618	0.258673102	0.054989179	0.127172668	0.009412263	0.053670993	0.025242205
0.251210332	0.080302695	0.028630698	0.242550986	0.094159556	0.155489406	0.016087216	0.066223125	0.031776656
0.238409316	0.086531536	0.03329101	0.245024483	0.103907734	0.1458014	0.016031121	0.061814929	0.032627038
0.235507635	0.085004494	0.029381633	0.235804885	0.097249608	0.163078661	0.016993091	0.068923271	0.03585944
0.255263036	0.077538474	0.028150036	0.245455935	0.09874808	0.165712098	0.0131194	0.055721693	0.028155843
0.266676419	0.086096611	0.031839504	0.22552273	0.084959802	0.170961682	0.025239174	0.052847741	0.03033418
0.297026953	0.084827198	0.026911821	0.22565413	0.087493611	0.159842526	0.01440769	0.051155619	0.028056931
0.310435959	0.092745393	0.030275545	0.20760957	0.08491613	0.160477787	0.018104908	0.041863765	0.029312117
0.369755892	0.10233739	0.02877719	0.204221327	0.069912163	0.136263829	0.014603363	0.034924801	0.02100223
0.325743399	0.098084413	0.030543961	0.201969374	0.088678874	0.153036393	0.016725203	0.036984269	0.024073227
0.293285037	0.095446276	0.033045154	0.219952305	0.112381912	0.136120598	0.016634975	0.045017386	0.021247369
