Ia	Ib	Ic	IIa	IIb	IIa6	IIb6	IIIa	IIIa6	origin
0.4432640	0.2625810	0.0602940	0.0955410	0.0331800	0.0637680	0.0234750	0.0055180	0.0051240	0.0000000
0.8856600	0.0180080	0.0263200	0.0475670	0.0040800	0.0079470	0.0008540	0.0012890	0.0004450	0.0000000
0.8428350	0.0468990	0.0162040	0.0532990	0.0018080	0.0309740	0.0038920	0.0012060	0.0014600	0.0000000
0.8286240	0.0494160	0.0154350	0.0629400	0.0029150	0.0289390	0.0038920	0.0014560	0.0016530	0.0000000
0.8948150	0.0069010	0.0016130	0.0765690	0.0002500	0.0170290	0.0005690	0.0016010	0.0006340	0.0000000
0.8949550	0.0067550	0.0016040	0.0771320	0.0004250	0.0159690	0.0006890	0.0017430	0.0007270	0.0000000
0.2699460	0.1771280	0.0339550	0.1018960	0.0282970	0.2595630	0.0704670	0.0111230	0.0340330	0.0000000
0.3145510	0.1785860	0.0369170	0.0665090	0.0249650	0.2616050	0.0713210	0.0081420	0.0236100	0.0000000
0.7049490	0.0470600	0.0144520	0.1021650	0.0060890	0.0999080	0.0105620	0.0051860	0.0079190	0.0000000
0.7026000	0.0399490	0.0123000	0.1164610	0.0047170	0.1036770	0.0083560	0.0042570	0.0065540	0.0000000
0.4515260	0.0427110	0.0091770	0.3430250	0.0104050	0.1128590	0.0064630	0.0147900	0.0064760	0.0000000
0.5047470	0.0368100	0.0107130	0.3442550	0.0091640	0.0597180	0.0030200	0.0141080	0.0072930	0.0000000
0.4978720	0.0225670	0.0031250	0.3955890	0.0058250	0.0395530	0.0009310	0.0172700	0.0057760	0.0000000
0.6249680	0.0332610	0.0063570	0.2729060	0.0073260	0.0234860	0.0010520	0.0110850	0.0068030	0.0000000
0.3047020	0.0041140	0.0032630	0.6000420	0.0028500	0.0000010	0.0004160	0.0825380	0.0000010	0.0000000
0.3635740	0.0122870	0.0118430	0.5361080	0.0049090	0.0000010	0.0010080	0.0617070	0.0000010	0.0000000
0.5450450	0.2651460	0.0421290	0.0268770	0.0086200	0.0777040	0.0262790	0.0012740	0.0030510	0.0000000
0.5660690	0.2656200	0.0485270	0.0411890	0.0107860	0.0412070	0.0198210	0.0010200	0.0026170	0.0000000
0.6465010	0.2127660	0.0494090	0.0156420	0.0089200	0.0435290	0.0192100	0.0013080	0.0027150	0.0000000
0.7913010	0.0725110	0.0243230	0.0721700	0.0050930	0.0285010	0.0020320	0.0011900	0.0010050	0.0000000
0.7752860	0.0762290	0.0237070	0.0856770	0.0053500	0.0269900	0.0022580	0.0015030	0.0008050	0.0000000
0.6134170	0.1648120	0.0168940	0.1371430	0.0144420	0.0356610	0.0089830	0.0028230	0.0016050	0.0000000
0.4990950	0.2541850	0.0670980	0.0595220	0.0339900	0.0441320	0.0251650	0.0053620	0.0042050	0.0000000
0.4672250	0.2364910	0.0569010	0.0917900	0.0281270	0.0770460	0.0236280	0.0047500	0.0070790	0.0000000
0.8465830	0.0597340	0.0217090	0.0481910	0.0024720	0.0172970	0.0024130	0.0006900	0.0009120	0.0000000
0.8523400	0.0437240	0.0356360	0.0500820	0.0017000	0.0130000	0.0018270	0.0009230	0.0007680	0.0000000
0.2682510	0.3722830	0.0802950	0.0809590	0.0372770	0.0660660	0.0646300	0.0090880	0.0037120	0.0000000
0.2835420	0.3359360	0.0805420	0.0720480	0.0362480	0.0843700	0.0716390	0.0085870	0.0084650	0.0000000
0.7132330	0.0538960	0.0162740	0.1204840	0.0057690	0.0791180	0.0052030	0.0020970	0.0026880	0.0000000
0.8015510	0.0306550	0.0170290	0.0946970	0.0069670	0.0304380	0.0019410	0.0026370	0.0016450	0.0000000
0.5795710	0.0248080	0.0058120	0.3314550	0.0027280	0.0421550	0.0009220	0.0100170	0.0016670	0.0000000
0.6103210	0.0224910	0.0055010	0.3087010	0.0025350	0.0378860	0.0010400	0.0090650	0.0015330	0.0000000
0.6039490	0.0220330	0.0051900	0.3115350	0.0031330	0.0369650	0.0011220	0.0097550	0.0018280	0.0000000
0.4486060	0.0676880	0.0246850	0.2422880	0.0406940	0.0938660	0.0214230	0.0166450	0.0143530	0.0000000
0.3435970	0.1028490	0.0270930	0.2274910	0.0376460	0.1461200	0.0517970	0.0204610	0.0224030	0.0000000
0.3297000	0.0868600	0.0236980	0.3179140	0.0216200	0.1477920	0.0313030	0.0192130	0.0158550	0.0000000
0.2303611	0.0249331	0.0074627	0.2942780	0.0300665	0.1138703	0.0020225	0.2330910	0.0557004	1.0000000
0.1472184	0.0305844	0.0030333	0.2597877	0.0293826	0.1550109	0.0251617	0.2641422	0.0745886	1.0000000
0.1798976	0.0104592	0.0022551	0.3074483	0.0175626	0.0427890	0.0008078	0.3567836	0.0753405	1.0000000
0.1454080	0.0316182	0.0199651	0.3271006	0.0895355	0.0307331	0.0033329	0.3005972	0.0421431	1.0000000
0.2582755	0.0928893	0.0388617	0.2526440	0.1092632	0.0577991	0.0085746	0.1378576	0.0170208	1.0000000
0.4181813	0.1299049	0.0281291	0.1122447	0.0563691	0.1358417	0.0522980	0.0277857	0.0295251	1.0000000
0.3592080	0.0882986	0.0090832	0.0753108	0.0291817	0.2520132	0.0804141	0.0209833	0.0766043	1.0000000
0.3383626	0.0082920	0.0036566	0.3720383	0.0082711	0.0328041	0.0007854	0.2234461	0.0091152	1.0000000
0.1610512	0.0026852	0.0008631	0.3469555	0.0070368	0.0359525	0.0006866	0.4148579	0.0236520	1.0000000
0.3929293	0.1169517	0.0218097	0.0922464	0.0524987	0.1894451	0.0458807	0.0226489	0.0501707	1.0000000
0.1588471	0.0052064	0.0005173	0.2650346	0.0103246	0.1148302	0.0008588	0.3612933	0.0784675	1.0000000
0.3784574	0.1039154	0.0294391	0.1288254	0.0567833	0.1669902	0.0380200	0.0366761	0.0520939	1.0000000
0.4421272	0.1058728	0.0224361	0.0711758	0.0296292	0.1950796	0.0576593	0.0193385	0.0464584	1.0000000
0.2227652	0.0836634	0.0227764	0.2346559	0.1230074	0.0738387	0.0319515	0.1447268	0.0342065	1.0000000
0.1595076	0.0266452	0.0033720	0.2998797	0.0338603	0.0538350	0.0017765	0.3368213	0.0746878	1.0000000
0.2243143	0.0049841	0.0027595	0.3916804	0.0140736	0.0233850	0.0003877	0.3178400	0.0123976	1.0000000
0.1894210	0.0035525	0.0011710	0.3666180	0.0091956	0.0311207	0.0005097	0.3682752	0.0232909	1.0000000
0.3843244	0.1476712	0.0123971	0.1319922	0.0587896	0.1510358	0.0416072	0.0387419	0.0334403	1.0000000
0.1596093	0.0198897	0.0049523	0.3037884	0.0282181	0.1302406	0.0179016	0.2411130	0.0942869	1.0000000
0.2667268	0.1099719	0.0235334	0.1595744	0.0941793	0.1576311	0.0303720	0.0657303	0.0639708	1.0000000
0.4103083	0.1034248	0.0175626	0.1174488	0.0354388	0.1920991	0.0493277	0.0281295	0.0422597	1.0000000
0.1120449	0.0273023	0.0098059	0.2392134	0.0794809	0.0649485	0.0044983	0.3610498	0.0762511	1.0000000
0.3457019	0.0874887	0.0158814	0.1067394	0.0375068	0.2277944	0.0568020	0.0282570	0.0794424	1.0000000
0.3031626	0.1175333	0.0225872	0.0903577	0.0449789	0.2083308	0.0986645	0.0225043	0.0692490	1.0000000
0.3049603	0.1136082	0.0172193	0.1120427	0.0459504	0.2179294	0.0724753	0.0339507	0.0677910	1.0000000
0.3035196	0.1002747	0.0102890	0.1140958	0.0392296	0.2567698	0.0607349	0.0367845	0.0685160	1.0000000
0.3302066	0.0978723	0.0178769	0.1309795	0.0432349	0.2113918	0.0507217	0.0394030	0.0783133	1.0000000
0.4014119	0.1063025	0.0153153	0.1200062	0.0367722	0.1892418	0.0452502	0.0238029	0.0522423	1.0000000
0.4448033	0.0746601	0.0076008	0.1523141	0.0223414	0.1854898	0.0294207	0.0288592	0.0545105	1.0000000
0.3537383	0.1080010	0.0087173	0.0667270	0.0315142	0.2528502	0.0918990	0.0181723	0.0599689	1.0000000
0.3322373	0.0520254	0.0127555	0.0405165	0.0095841	0.3997155	0.0336200	0.0088349	0.1067779	1.0000000
0.4153005	0.0861629	0.0099019	0.1457238	0.0245170	0.1827346	0.0431527	0.0424422	0.0500644	1.0000000
0.4056971	0.1205559	0.0173770	0.1316205	0.0509121	0.1619992	0.0396397	0.0291008	0.0331379	1.0000000
0.1535942	0.0901741	0.0060825	0.2742207	0.0662438	0.1171037	0.0019661	0.1861876	0.0991096	1.0000000
0.3494247	0.1559747	0.0212222	0.1346974	0.0729232	0.1377101	0.0458909	0.0303885	0.0345627	1.0000000
0.3611823	0.0893645	0.0091092	0.0734909	0.0286412	0.2524357	0.0813269	0.0201870	0.0717524	1.0000000
0.3187853	0.0864137	0.0350629	0.0485311	0.0295030	0.2753309	0.0531547	0.0201879	0.1076542	1.0000000
0.3024560	0.1112933	0.0280944	0.1320607	0.0574627	0.1917032	0.0534505	0.0389074	0.0642138	1.0000000
0.2885272	0.1287186	0.0218547	0.0842661	0.0516524	0.2065816	0.1054302	0.0228004	0.0643255	1.0000000
0.3265975	0.0948943	0.0122380	0.1021974	0.0427285	0.2418298	0.0705514	0.0254733	0.0690376	1.0000000
0.5333273	0.1222548	0.0495405	0.1309132	0.0430601	0.0795790	0.0190064	0.0126496	0.0096691	1.0000000
0.3129199	0.1132991	0.0254627	0.1286515	0.0522910	0.2158131	0.0601549	0.0325176	0.0482068	1.0000000
0.4004781	0.1790667	0.0327392	0.1103091	0.0340145	0.1282321	0.0623578	0.0158090	0.0209510	1.0000000
0.1480249	0.0359000	0.0079779	0.1369333	0.0560188	0.1301540	0.0263434	0.2257198	0.1683743	1.0000000
0.2316454	0.0131719	0.0046995	0.3679015	0.0188809	0.0469349	0.0056757	0.2685845	0.0328259	1.0000000
0.4598874	0.1385845	0.0281888	0.0841730	0.0409230	0.1245568	0.0599487	0.0230638	0.0406740	1.0000000
0.3408018	0.1025066	0.0137877	0.1260595	0.0382807	0.2193259	0.0652446	0.0295124	0.0455461	1.0000000
0.8812503	0.0076274	0.0024756	0.0563211	0.0024408	0.0428447	0.0004621	0.0038845	0.0026936	1.0000000
0.6893324	0.0131077	0.0061108	0.0013499	0.0458353	0.2017963	0.0047484	0.0287047	0.0074375	1.0000000
0.1566748	0.0155386	0.0036349	0.3419345	0.0496269	0.0362654	0.0021047	0.2690801	0.1199841	1.0000000
0.1528833	0.0105556	0.0019349	0.2806594	0.0161590	0.1375887	0.0100276	0.2562285	0.1266010	1.0000000
0.2042241	0.0365228	0.0055698	0.2489253	0.0506250	0.1535973	0.0049057	0.1923419	0.0882070	1.0000000
0.3608318	0.1359573	0.0143897	0.1396646	0.0467206	0.1748294	0.0542057	0.0207436	0.0398460	1.0000000
0.1801439	0.0175505	0.0043196	0.3510617	0.0300248	0.0405017	0.0037072	0.3237201	0.0478191	1.0000000
0.1275521	0.0140687	0.0022724	0.2717555	0.0250280	0.0539178	0.0025534	0.4235186	0.0677087	1.0000000
0.3813414	0.1083446	0.0286514	0.1296194	0.0555398	0.1728800	0.0353633	0.0272799	0.0447955	1.0000000
0.2356323	0.0917940	0.0253883	0.2494189	0.1271896	0.0702845	0.0272640	0.1040490	0.0385437	1.0000000
0.4658110	0.0536161	0.0164082	0.2545055	0.0216746	0.0843440	0.0132116	0.0556458	0.0222399	1.0000000
0.1813953	0.0425091	0.0134041	0.2223717	0.0443171	0.1505416	0.0446886	0.1409377	0.1389314	1.0000000
0.4857861	0.0555171	0.0179894	0.2665938	0.0190143	0.0678085	0.0091997	0.0505745	0.0155796	1.0000000
0.7515438	0.0511144	0.0094537	0.0951154	0.0051735	0.0587558	0.0115418	0.0071914	0.0086349	1.0000000
